<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,26/05/22,11:00:00,124.9900000,124.9900000,124.5100000,124.5100000,13
MOEX.SBER:SMAL,60,26/05/22,12:00:00,125.6600000,125.6600000,125.6600000,125.6600000,1
MOEX.SBER:SMAL,60,26/05/22,15:00:00,123.5000000,124.5000000,123.5000000,124.5000000,6
MOEX.SBER:SMAL,60,26/05/22,16:00:00,125.0000000,125.4000000,125.0000000,125.4000000,3
MOEX.SBER:SMAL,60,27/05/22,13:00:00,122.0000000,122.0000000,122.0000000,122.0000000,2
MOEX.SBER:SMAL,60,27/05/22,14:00:00,121.3100000,121.3100000,121.3100000,121.3100000,3
MOEX.SBER:SMAL,60,27/05/22,17:00:00,122.0000000,122.0000000,122.0000000,122.0000000,1
MOEX.SBER:SMAL,60,30/05/22,11:00:00,122.0400000,122.0400000,122.0400000,122.0400000,1
MOEX.SBER:SMAL,60,30/05/22,13:00:00,123.9700000,123.9700000,123.9700000,123.9700000,1
MOEX.SBER:SMAL,60,30/05/22,14:00:00,122.0400000,122.0400000,121.4100000,121.4100000,6
MOEX.SBER:SMAL,60,30/05/22,15:00:00,123.9700000,123.9800000,123.9600000,123.9600000,22
MOEX.SBER:SMAL,60,30/05/22,17:00:00,121.0000000,121.0000000,120.8100000,120.8100000,2
MOEX.SBER:SMAL,60,30/05/22,19:00:00,120.8100000,120.8100000,120.5100000,120.5100000,3
MOEX.SBER:SMAL,60,31/05/22,11:00:00,118.5000000,118.5000000,118.5000000,118.5000000,1
MOEX.SBER:SMAL,60,31/05/22,12:00:00,119.0000000,119.9700000,118.0000000,119.9700000,12
MOEX.SBER:SMAL,60,31/05/22,13:00:00,118.3000000,118.3000000,118.3000000,118.3000000,1
MOEX.SBER:SMAL,60,31/05/22,15:00:00,119.9700000,119.9700000,119.9700000,119.9700000,4
MOEX.SBER:SMAL,60,31/05/22,16:00:00,120.7700000,120.7700000,120.7700000,120.7700000,2
MOEX.SBER:SMAL,60,31/05/22,17:00:00,118.9000000,118.9000000,118.9000000,118.9000000,1
MOEX.SBER:SMAL,60,31/05/22,18:00:00,117.8600000,117.8600000,117.8600000,117.8600000,4
MOEX.SBER:SMAL,60,01/06/22,12:00:00,121.0000000,121.0000000,121.0000000,121.0000000,1
MOEX.SBER:SMAL,60,01/06/22,13:00:00,120.0100000,120.0100000,120.0100000,120.0100000,5
MOEX.SBER:SMAL,60,01/06/22,15:00:00,121.2900000,121.9000000,121.2900000,121.9000000,2
MOEX.SBER:SMAL,60,01/06/22,16:00:00,121.0800000,121.5100000,121.0800000,121.5100000,20
MOEX.SBER:SMAL,60,01/06/22,17:00:00,121.5100000,122.0800000,121.5100000,122.0800000,13
MOEX.SBER:SMAL,60,01/06/22,19:00:00,122.8000000,122.8000000,122.8000000,122.8000000,3
MOEX.SBER:SMAL,60,02/06/22,11:00:00,123.8900000,123.9600000,119.8200000,119.8200000,11
MOEX.SBER:SMAL,60,02/06/22,12:00:00,118.8600000,122.9600000,118.8600000,122.9600000,13
MOEX.SBER:SMAL,60,02/06/22,13:00:00,122.9700000,122.9700000,122.9700000,122.9700000,1
